Reference Type, Quantity, Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8
C,2,"C44,C59,",0.001uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C,4,"C29,C40,C62,C63,",0.01uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C,13,"C3,C4,C5,C6,C30,C33,C31,C36,C43,C50,C49,C52,C67,",0.1uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C,2,"C46,C61,",1uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C,3,"C35,C48,C47,",4.7uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C,6,"C34,C41,C64,C65,C66,C68,",10uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C,5,"C42,C57,C69,C70,C71,",22uF,Capacitors_SMD:C_0805_HandSoldering,,,,,,
C,2,"C1,C2,",100uF,Capacitors_SMD:C_1206_HandSoldering,,,,,,
D,2,"D2,D3,",D,Diodes_SMD:D_SMC,VS-30BQ015-M3/9AT,,,,,
D,2,"D6,D5,",LED,LEDs:LED_0603_HandSoldering,,,,,,
D,2,"D1,D4,",LG L29K-F2J1-24-Z ,LEDs:LED_0603_HandSoldering,,,,,,
J,1,"J5,",Conn_01x02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,,,,,
J,1,"J1,",Conn_02x18_Odd_Even,Pin_Headers:Pin_Header_Straight_2x18_Pitch2.00mm_SMD,,,,,,
J,1,"J4,",WIFI SMA,WiFiMapSpecific:Amphenol-132289rp,,,,,,
L,1,"L9,",1.5uH,WiFiMapSpecific:XFL4020-152ME,XFL4020-152ME,,,,,
Q,2,"Q2,Q1,",BSS138,TO_SOT_Packages_SMD:SOT-23,https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf,,,,,
R,1,"R23,",0,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,1,"R36,",0.05,Resistors_SMD:R_1206_HandSoldering,,,,,,
R,2,"R2,R1,",270,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,2,"R21,R42,",330,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,4,"R34,R35,R37,R33,",???,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,2,"R8,R9,",DNP,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,5,"R19,R24,R22,R29,R32,",100K,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,2,"R11,R12,",4.7k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,8,"R6,R14,R16,R28,R26,R27,R25,R38,",10k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,7,"R4,R5,R7,R3,R13,R10,R41,",100k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,1,"R39,",150k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R,1,"R40,",470k,Resistors_SMD:R_0603_HandSoldering,,,,,,
TP,1,"TP2,",Test_Point,Connectors_TestPoints:Test_Point_Pad_d1.5mm,,,,,,
U,1,"U6,",BMP280,Housings_LGA:Bosch_LGA-8_2.5x2.5mm_Pitch0.65mm_ClockwisePinNumbering,,,,,,
U,1,"U2,",CC3220MODSFMOB,WiFiMapSpecific:CC3220MODSF12MOBR,,,,,,
U,1,"U1,",DEA202450BT-1294C1-H,WiFiMapSpecific:DEA202450BT-1294C1-H,,,,,,
U,2,"U12,U11,",FSUSB42MUX,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,,,,,,
U,1,"U4,",LSM9DS1,Housings_LGA:LGA-24L_3x3.5mm_Pitch0.43mm,http://www.st.com/content/ccc/resource/technical/document/datasheet/1e/3f/2a/d6/25/eb/48/46/DM00103319.pdf/files/DM00103319.pdf/jcr:content/translations/en.DM00103319.pdf,,,,,
U,1,"U14,",MAX-M8Q,WiFiMapSpecific:XBEE_SMD,,,,,,
U,1,"U16,",OPA2340,Housings_SSOP:VSSOP-8_3.0x3.0mm_Pitch0.65mm,http://www.ti.com/lit/ds/symlink/opa4340.pdf,,,,,
U,2,"U10,U15,",TPS22918,TO_SOT_Packages_SMD:SOT-23-6_Handsoldering,,,,,,
U,1,"U17,",TPS63070RNM,WiFiMapSpecific:TPS63070RNMR,,,,,,
U,2,"U9,U13,",TXB0102DCU,Housings_SSOP:VSSOP-8_2.4x2.1mm_Pitch0.5mm,http://www.ti.com/lit/ds/symlink/txb0102.pdf,,,,,
U,1,"U8,",XBP9B-DPST-001,WiFiMapSpecific:XBEE_SMD,Digi International,"XBee-PRO 900HP _S3B_ Point2Multipoint, 900MHz, 250mW, RPSMA, 10Kbps",38.27 USD,XBP9B-DPST-001,Module Digi International,Warning
